Item No.,Item Description,Ref Standard,Pack,In Stock,InTransit Qty,Special  Price euro/1000,ETA Date
064206085DS-01,ISO 10642 M6x85 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,100,4789,0,40.87,
064205060BS-03,ISO 10642 M5x60 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,200,2800,0,19.31,
064205012DS-03,ISO 10642 M5x12 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,500,55000,0,5.79,
064210075BS-03,ISO 10642 M10x75 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,100,10500,0,91.58,
064208065BS-03,ISO 10642 M8x65 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,100,10600,0,56.82,
064210095BS-01,ISO 10642 M10x95 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,100,8675,0,117.56,
064208100BS-01,ISO 10642 M8x100 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,100,5200,0,94.91,
064210080DS-01,ISO 10642 M10x80 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,100,10600,0,102.45,
064208095BS-03,ISO 10642 M8x95 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,100,10300,0,87.41,
064212115BS-03,ISO 10642 M12x115 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,50,2100,0,214.26,
064208014DS-01,ISO 10642 M8x14 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,200,5200,0,15.14,
064205016BS-01,ISO 10642 M5x16 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,500,80500,0,7.11,
064214090BS-01,ISO 10642 M14x90 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,50,5000,0,218.03,
064212140DS-03,ISO 10642 M12x140 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,50,1150,0,267.62,
064210050DS-03,ISO 10642 M10x50 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,100,13900,0,64.34,
064224170BS-01,ISO 10642 M24x170 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,10,3060,0,1340.21,
064210060DS-01,ISO 10642 M10x60 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,100,20300,0,78.32,
064212090BS-01,ISO 10642 M12x90 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,50,4900,0,172.50,
064206080DS-01,ISO 10642 M6x80 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,200,9400,0,38.50,
064210035BS-01,ISO 10642 M10x35 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,100,11300,0,46.17,
064212160BS-01,ISO 10642 M12x160 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,25,1175,0,305.66,
064212060DS-03,ISO 10642 M12x60 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,100,8600,0,115.43,
064210090BS-01,ISO 10642 M10x90 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,100,7000,0,111.58,
064210085BS-03,ISO 10642 M10x85 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,100,14900,0,102.92,
064205045DS-03,ISO 10642 M5x45 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,200,27400,0,16.91,
064206090BS-03,ISO 10642 M6x90 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,100,12900,0,41.00,
064212085BS-01,ISO 10642 M12x85 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,50,7050,0,162.98,
064210085BS-01,ISO 10642 M10x85 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,100,15400,0,105.70,
064220120BS-03,ISO 10642 M20x120 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,10,2250,0,638.94,
064220075BS-01,ISO 10642 M20x75 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,25,1375,0,389.03,
064220130BS-03,ISO 10642 M20x130 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,10,1490,0,695.14,
064214035DS-01,ISO 10642 M14x35 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,100,2500,0,98.72,
064214080BS-03,ISO 10642 M14x80 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,50,8100,0,191.48,
064208110DS-03,ISO 10642 M8x110 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,100,16200,0,105.38,
064206090DS-03,ISO 10642 M6x90 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,100,9700,0,42.11,
064208160BS-03,ISO 10642 M8x160 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,50,2650,0,153.60,
064205014BS-03,ISO 10642 M5x14 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,500,156000,0,6.32,
064216110BS-01,ISO 10642 M16x110 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,25,3225,0,374.06,
064206020BS-01,ISO 10642 M6x20 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,500,137500,0,9.53,
064212070DS-03,ISO 10642 M12x70 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,50,10350,0,134.45,
064204035BS-03,ISO 10642 M4x35 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,500,16000,0,11.51,
064212075BS-01,ISO 10642 M12x75 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,50,7450,0,143.96,
064216150BS-01,ISO 10642 M16x150 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,25,1925,0,510.86,
064212090BS-03,ISO 10642 M12x90 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,50,11050,0,167.96,
064205070DS-03,ISO 10642 M5x70 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,200,10600,0,26.17,
064220150DS-03,ISO 10642 M20x150 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,10,2260,0,829.35,
064210025BS-03,ISO 10642 M10x25 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,200,9800,0,34.55,
064216070BS-03,ISO 10642 M16x70 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,25,5675,0,231.02,
064208090BS-01,ISO 10642 M8x90 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,100,6200,0,84.43,
064212085BS-03,ISO 10642 M12x85 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,50,10650,0,158.70,
064224180BS-01,ISO 10642 M24x180 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,10,1160,0,1427.85,
064204016BS-03,ISO 10642 M4x16 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,500,107500,0,5.85,
064210130DS-03,ISO 10642 M10x130 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,50,4650,0,158.60,
064208090BS-03,ISO 10642 M8x90 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,100,11100,0,82.21,
064212140DS-01,ISO 10642 M12x140 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,50,1750,0,274.66,
064216130DS-01,ISO 10642 M16x130 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,25,4900,0,454.11,
