CUSTOMER CODE;MATERIAL;DIN;DESCRIPTION;SIZES;KING CODE;OUR CODE
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;95;2047195;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;100;20471100;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;105;20471105;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;110;20471110;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;120;20471120;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;130;20471130;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;140;20471140;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;150;20471150;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;8;204728;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;9;204729;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;10;2047210;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;11;2047211;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;12;2047212;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;13;2047213;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;14;2047214;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;15;2047215;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;16;2047216;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;17;2047217;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;18;2047218;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;19;2047219;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;20;2047220;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;21;2047221;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;22;2047222;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;23;2047223;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;24;2047224;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;25;2047225;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;26;2047226;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;27;2047227;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;28;2047228;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;29;2047229;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;30;2047230;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;31;2047231;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;32;2047232;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;33;2047233;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;34;2047234;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;35;2047235;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;36;2047236;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;37;2047237;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;38;2047238;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;39;2047239;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;40;2047240;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;41;2047241;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;42;2047242;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;43;2047243;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;44;2047244;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;45;2047245;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;47;2047247;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;48;2047248;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;50;2047250;
